Tweets,Sentiment
@tedlieu @GavinNewsom Totally agree. I support my Governor as did I support Brown. Not afraid of being called out by Trump....Bravo!!! As it should be with our republican Senators,pos
"@scampbell195022 @seanhannity Well, my opinion is that Trump shouldn’t be in the WH.",pos
"@cyndiy2 This exchange with Trump Jr. &amp; President Trump is not just racist, but it is this dehumanization that makes it easy for them to shut off critical services on reservations during the gov't shutdown and try to systemically deny the right to vote to Native Americans in ND last fall. https://t.co/JDZfC1G4yI",neg
@philosophrob If the can elect Trump certainly Valenzuela can elect Maduro,pos
@RepAdamSchiff President Trump is a Duly Elected President by The American citizens. How you got into office is very questionable.  Let's investigate the Democrats for ELECTION FRAUD!!!  No more Witch Hunt on Our DULY ELECTED PRESIDENT.,neg
"Trump Jr. makes light of Native American genocide while rooting for father's attack on Warren
https://t.co/B9nmWyLqwR",neg
"Trump offers socialism for the rich, capitalism for everyone else | Robert Reich https://t.co/iv74VfRfRN",pos
@TrumpOrBust2020 @GavinNewsom @DaRealGrizzle @KatTheHammer1 @FuctupMike @RubyRockstar333 @RealMAGASteve @Chicago1Ray @Jillibean557 @DonnaWR8 @bgood12345 @PatrioticVa The wall Trump wants should be on the northern border of California,neg
@wdemark Yep. It’ll thin out. Going to be interesting who is left standing. I didn’t see Trump coming.,pos
WARREN UNHINGED: Sen. Warren Suggests Trump GOING TO PRISON Before 2020 Election | Sean Hannity https://t.co/LUdPmMCOWA,neg
"Or 2nd scenario: Parrot looks in his contact list, calls Senate staffers to give his ‘unbiased’ opinion on how to block Trump from reversing the abomination Parrott himself created under Obama when he was senior advisor- Net Worth Sweep. How is this not lobbying again? $fnma https://t.co/xqNedxrKW2",pos
Why Is Donald Trump Praising Bible Literacy Classes? https://t.co/IkivSDXdLw,pos
"@kylegriffin1 It's exhausting to keep up with Trump's ignorance on more than a hundred topics.  This is just one more ""OMG how can anyone be so stupid and ignorant!"" moment.    President of the Virgin Islands, raking of forest floors, wet hurricanes, time zones a list that goes on and on.",neg
"This is a great article and hits the democrats right between the eyes.  The dems' behavior during the Matt Whitaker hearing was uncivil, abusive, and downright insolent. Their anger toward Trump should not have been directed to an acting officer. https://t.co/JnZxgft60s",neg
"Haha: “Actually, president tweets: ""I probably work more hours than almost any past president."" “https://t.co/izmDIfyBdz via @HuffPostPol",pos
@nypost There goes the whol “trump spied on me” BS,neg
@Jose_Pro_Se @thehill @TheHillOpinion Or Trump is a crook and law enforcement is investigating his crimes and jailing those who worked for him.,neg
"@BryanJFischer @POLITICOMag ""Cannot have a man who engages in sexually deviant behavior in the White House."" Does Trump know you've turned against him?",pos
Now Reading :The Trump Tax Cut: Your Personal Guide to the New Tax Law by Eva Rosenberg EA https://t.co/SUFLbxoh8A via @amazon,neg
ISIS still fighting in Syria despite Trump's assurances - CBS News ⁦@realDonaldTrump⁩ go down there and take a look for yourself  https://t.co/qJYoqqB9cO,neg
@byphilcrawford @thehill Still waiting for Steve King to apologize for praising white supremacy. Still waiting for Steve Scalise to apologize for re-tweeting white supremacist websites. Still waiting for Trump to apologize for demanding the execution of 5 black boys even after DNA exoneration.,pos
"After Trump, we are going to need a President and VP with experience to get the country back on track.

Time for an Independent Democratic centrist ie @JoeBiden to put honesty back into our leadership and defeat Trump in 2020! @ElectBiden @BidenforPOTUS https://t.co/2eYKj4BXJl",pos
"@InkonElbows @josecanyousee I agree.  The primary is for us to decide who will represent the Dems and we  should all rally around whoever wins.  In the meantime, we should not do anything to hurt our chances.  Getting rid of Trump is more important than anything else.  #DemUnity",pos
Chances of another government shutdown seem to grow as 'talks are stalled' and Trump is raging https://t.co/P5WSpPEeNV,neg
Excited for the weekend! Gonna go ride horses with President Trump at Universal Studios in a Tennessee Football hoodie! https://t.co/oyeSCNSrxt,pos
@Stop_Trump20 Trump saved them millions.😁 https://t.co/1BPDwHgpiq,pos
@JonahNRO I wouldn’t worry as much about electing a socialist as I would re-electing Trump.,neg
"Nina Turner keeps it REAL re: Gucci, trump, &amp; racism (not starting w/trump)! 
Thank you @NinaTurner! ""when you take care of Black lives, ALL lives are taken care of"" 
Niko also makes great points!
Nina Turner Calls Out Dems &amp; GOP On Racism https://t.co/vvgGInTXLH",pos
@Thom_Hartmann Trump is scared of Bernie he is already campaigning against him as you see him and all the others talking about Socialism!,neg
"@realDonaldTrump At this point, how are you not embarrassed to keep making the same stupid comments and same mistake when it comes to what #GlobalWarming is? Isn’t anyone watching you? Don’t you get home schooled? #Idiocy #TrumpLies #FearMongering #Uneducated #Trump #DumpTrump #Resign",neg
I'm not into Trump trains and gaining followers......I'm into the truth and gaining brothers.....and sisters!!!!,pos
Why don't we just use the same stupid argument against Donald Trump marrying an illegal immigrant. https://t.co/hI3HjXQUG3,neg
"@3Will3Will3 @SunflowerSoul71 In a relay, if the team declared winner is disqualified, the second place team becomes winner-(It’s not rocket science)  Hillary/Kaine won! Trump/Pence never were legitimate candidates. (Wrong country) @RedState @dailykos @TPM @AP",pos
Donald Trump's Now 1-0 in Border Wall Cases in the Ninth Circuit https://t.co/55UHbylkPH via @lawdotcom,neg
Trump to Sign Executive Order Promoting Artificial Intelligence https://t.co/KMlsjbuPEI,pos
I wonder what Donald trump was like in 1st grade,pos
"@daveweigel @IlhanMN it’s very disorienting to hear Dem leaders continue to recite lines about the “shared values/interests” between Israel and U.S. when that’s less true now than it’s ever been. they helped get Trump elected, for crying out loud",neg
Are You starting to get a little nervous yet ? : What Trump Is Trying To Save Americans From https://t.co/ElZKe7TcjU,pos
One things being a Trump Supporter to start &amp; another thing is to fucking wear A DAMN M’F outfit of the thing thats breaking families apart. Stupid Hoe https://t.co/PKCF1AwVNl,neg
"I don’t want President Trump to win in 2020, I believe he needs to win in 2020. The socialist way that the Democrats are talking about will destroy our country and our way of life. In fact I think they’ll do it to an extreme that we may not be able to undo it VOTE REPUBLICAN! https://t.co/7zF7rKfKDT",pos
"@daily_tomato @Top_Sergeant Everyone in the world plays Trump for a sucker.

And it is so easy.",pos
"Dear @JoeBiden &amp; @DrBiden,

I see many stories like this:
https://t.co/owVwu5mtWh

If you ask Dem ""Do you want Joe Biden?""... Some say YES!

But if you ask ""Do you want a creep who pervs on teenagers?""... All say NO!
https://t.co/fKVcLeVXfI

So you will be ""ASS"" in EMBARRASSMENT!",neg
"@TeaPainUSA Trump: ""I looked at the sky tonight and it was dark. Where is the sun? Obviously the sun doesn't supply light. Total hoax!""

That boy is just not really there upstairs.",neg
@realDonaldTrump @JesseBWatters LIAR. MORE TRUMP FAKE NEWS.,neg
There's a trade war with China. Here's why most Americans haven't noticed @CNNPolitics https://t.co/XyzhSIUG3E,neg
.@SenatorReid says Yucca Mountain opposition will be a litmus test for Democratic presidential hopefuls in the Nevada Caucus https://t.co/RBM8U5DvR3 via @reviewjournal,neg
"@PattyMurray Figures. Anything Trump is a NO for you. Get over it, Clinton lost. Grow up or retire.",neg
"Trump polls at 52 per cent, his best approval rating in 23 months https://t.co/58BBTpOWpZ via @MailOnline",pos
@krassenstein I would have to say both demoralize Trump.,neg
"Chain of fools
Trump Supporters Form Human Chain at Mexican Border https://t.co/bZphafzV7w",neg
"@USSA_Certified We would all love to see this shit-show brought crumbling to the ground. 

In the meantime, Trump getting ousted puts Pence in charge. We should plan accordingly.",pos
CNN's Navarro on Trump Mocking Klobuchar: He's 'Afraid to Get His Little Hair Wet' | Breitbart https://t.co/ut7yCRikLD,neg
"@KenPaxtonTX @realDonaldTrump Since you miss-stated the facts about El Paso in regards to being safer since their wall was implemented in 2009, perhaps today is a chance to be honest and set the record straight!  Do you have the ""juevos"" to do that? In front of Trump?",pos
"For @grist, @ColumbiaJournMA alum @gretalomoran (MA Science '18) writes that David Bernhardt, the former energy lobbyist who is Trump's nominee to become Secretary of the Interior, may know how to get away with exploiting public lands: https://t.co/awgNhVlaIB",neg
"CNN 10:42am TRUMP MOCKS ""TRAIL OF TEARS"" GENOCIDE WHICH KILLED THOUSANDS. . Adolpho Telles Chairman, El Paso County GOP
TRUMP MOCKS...",neg
"@realDonaldTrump With all do respect President Trump; regarding global warming and Amy Klobuchar for President, SCIENCE meets FACTS meets TRUTHS!
❄️",pos
"@GOPChairwoman @realDonaldTrump Pres. Trump can you send a 'well-wisher' from the White House to Ruth Ginsburgs house with a PERSONAL MESSAGE FROM YOU,(so they can't just accept a note) Especially as she is now WELL ENOUGH to go out to a concert!!  PATRIOTS NEED PROOF OF LIFE! https://t.co/ZVSNBCtXyO",pos
It’s crazy to think Trump will be in the city of EP today..ugh. It’s gona be infested once he lands.,neg
"@SenSanders Oh, but we can't have 'evil socialism' in tRump's 'Murica'. 😝",pos
@Stop_Trump20 Trump will appoint him as Secretary of Health and Human Services.,neg
"@AbrahamAlyzah @fluffykatattack @realDonaldTrump Where is your proof?
Better, yet. Go and give it to Mueller because he is going nuts at this point, looking for ANYTHING to pin on Trump.
Why do you think Schitt wants to ""investigate""? Isn't Mueller ""investigating"" already? Schit knows Mueller hasn't found any proof.",pos
@MushkaSasha @CNNPolitics Says the Trump supporter.,pos
@SenSanders Trump delivered!,neg
@DavidStevens78 @DanPatrell @JacobAWohl Trump steaks,neg
"Pres Trump 52% approval rating Dems - ""Heads exploding"" !! collusion, Russia, collusion, Russia... This is all the assholes can come up with. Once we don't have cars and planes we will be way better off. These dems would be funny if they weren't so sad! https://t.co/VVZzU4wVUk",pos
"@anntensity @AnnCoulter
President Trump has been wearing ORANGE FACE for years now and I'm not entirely sure why ... but this deeply offends me.   #OrangeSupremacist #TrumpMustResign https://t.co/hF0IZzmcB3",neg
"@FREAKINWOKE @scanacannoli @SZilberstein I don't have to show shit to you. I live here in San Diego. You look the videos up your damn self. Look up Ami Sutter, Melinda Henry Oporto, Paloma for Trump on FB.

I work unlike you liberals.",neg
"@EdKrassen Encourage you more to do what? Lol. Everything you are ""doing"" is HELPING Trump. Not hurting, Bieber Boy. #UsefulIdiot",pos
@realDonaldTrump @JesseBWatters Correction! Trump and fox news have become fake news. https://t.co/i1n1AeNh0V,neg
"They are all the same like Bowman and Bailey from the Bronx. The public schools if the future! 😢 #TeachToOneMathSoftware #nycdoe #corruption #TaxationIsTheft #policethepolice #indoctrination @realDonaldTrump
@EricTrump
@Trump
@NYCSchools @DOEChancellor https://t.co/4usvdPgn6r",neg
"@getongab To be honest...
They look kinda shit.

I do find it a bit funny that you made your own version of trump’s cringy bumper sticker hat, in a good way.",pos
"@realDonaldTrump @JesseBWatters Remember, facts are not facts! @RudyGiuliani",neg
@CNN Those 34% are Trump's supporters.,pos
"@MSNBC Did you know Trump is a Liar? That’s what Liars do, LIE!",neg
Analysis: Trump’s racist Elizabeth Warren taunts have entered a new phase https://t.co/30oH9RERaj,neg
@ClintEastwoodLA @realDonaldTrump It’s all about their hatred for Trump and they don’t realize that we see right through that !! They want submission from our President and he isn’t gonna do it !!!! Build the wall dammit !!!!,neg
Is This a Photograph of Christine Blasey Ford with Bill Clinton ? Are n’t you surprised after seeing this magic ? – Trump Train https://t.co/BPYcKShrdK,pos
@ProudSkeptic @HomelandDems That’s good! Trump is taking over what was started! Happy to hear that! We have to get this under control.,pos
"@JPM420 @KaupBrandi @EdKrassen @realDonaldTrump Yes, and Obama was president over twice as long as Trump has been.",pos
LATEST POLL: President Trump’s Approval Rating SOARS to 52% | Sean Hannity https://t.co/XFxkJ2X6ew,pos
News brief 18:00 GMT #crudeoil #brentcrude #OPEC  #gold #dollar  #DowJ #DowJones  #SP500 #euro #forex #futures #commodities #eurusd  #Trump #FED #FederalReserve #dollar #euro #ECB #Bitcoin #BITCOINFUTURES #Analytics #FinancialServices https://t.co/Cspn5Y4TAf,neg
"Trump polls at 52 per cent, his best approval rating in 23 months https://t.co/U0YDEHORxc via @MailOnline",pos
Trump Mocks Democrats’ Embrace Of ‘Green New Deal’: ‘Brilliant!’ https://t.co/qqulUrSTny,neg
"@AhmedBaba_ @realDonaldTrump The double standard comes from some in the Democratic Party who join with the right wing republicans (who have much in common with Zionists) and pundits/media who deflect when it comes to calling out trump/gop &amp; their cronies when it comes to white supremacy, racism &amp; xenophobia.",pos
@ReaganBattalion Shouldn’t Trump be removed from all conversations with Russians and Saudi’s? What’s fair is fair.,pos
"As you've done snow jobs for the last 50 years, blizzards should be your favorite weather.

Donald J. Trump

Verified account
 
@realDonaldTrump
Following Following @realDonaldTrump

Well, it happened again. Amy... https://t.co/iXxp0JQjnL",pos
"@ozzyangers @ChrisEvans As long as he can build it, yes!! There’s just no sense in talking sense into Trump for he has none.",pos
"@YonahLieberman Let’s spread the blame everywhere. Trump’s Nationalists, Palestinian leadership not willing to compromise, Angry Muslims breastfed Antisemistism, Left Jews being Self-Deprecating,",neg
@RepPeteAguilar Do what Trump wants. Dems are causing it,neg
Nothing short of embarrassing- and they think they can call out Trump with a straight face? https://t.co/7MajKcaQq2,pos
@Hope012015 I wonder if it was to protect Trump 2,pos
@realDonaldTrump Did the 9th circuit court just back border wall and President Trump?,neg
LATEST POLL: President Trump’s Approval Rating SOARS to 52% | The Sean Hannity Show | News Radio 94.3 WSC https://t.co/tlG2oCYbBh,pos
"@0Sundance @MarkRocon Yes, Trump’s still in office. Al Franken is not. Elliott Spitzer is not. Anthony WeinerWeiner is gone.

When do you notecthe Democrats who resigned seeking atonement, and demand Donald Trump resign, too?",neg
"@TheDemCoalition @Lawrence @realDonaldTrump I do blame people who knew who Trump was &amp; voted for him. I think about 70% of people that voted for Trump didn't do their home work &amp; thought Trump was a successful business man. They got Coned. People your vote counts, especially at Tax Return Time. Know who U R voting for. https://t.co/XgVyuOqfqX",pos
"I'd give anything if Mueller got on Twitter and pointed out every Trump lie until he REALLY cracks up, but his 17 lawyers would no doubt call it a ""douchery trap."" @StephMillerShow @fromthebunkerjr @frangeladuo @RockyMntnMike @TheRealTBone @CharlesPPierce",neg
"@realDonaldTrump @CNN No and you don't either, explain trump and Mike Pence, coming out about 2 or 3 weeks ago, saying ISIS had been defeated, just to turn around and  look like lying fools, saying something that wasn't true, you can't trust trump or pence, lie all the time.",neg
Strong Democratic women are Trump's kryptonite @CNN https://t.co/8tIGgkaOZU,pos
@thedailybeast Stop carrying on. People who would vote for those lefty Dems would never vote for Schultz. If he's going to screw any candidate it's Trump.,neg
@KarsinXXX @realDonaldTrump If Trump doesn't get his way I imagine that's going to be his next move.,neg
"@RonMexi49144999 @realDonaldTrump @tommcclintock Trump proposed measures to compel Mexico to pay for the wall, such as cutting off remittances sent from undocumented Mexicans in the U.S. via wire transfers.

Then, the memo says...",neg
"@rushlimbaugh !et them think its that,  you and him represent Millions of usand they should fear us not just Trump",neg
"@Joy_Villa Your politics just turned me as a fan. Trump and his entire family are traitors to America, plain and simple. If you support Trump then you are a traitor to American Democracy, plain and simple. You can't say later you didn't know because now you do, plain and simple.",pos
@AynRandPaulRyan Trump will enjoy shaking that hand 😷..... #AppointmentRescinded,pos
"@AnandWrites @AOC Jack says something along the lines..she has spark debates &amp;  some ppl angrily disagree with her. Jack is comparing a young smart women whose only purpose is to enrich the lives of poor and middle class, while Trump is repugnant in all forms his purpose is only to enrich himself.",neg
"@McAllisterDen @JJPPATRIOT NM pulls their troops. CA now pulling theirs. 

Is there ANY doubt that this has nothing - NOTHING - to do with immigration. 

It’s all about opposing Pres. Trump. 

That’s the ONLY reason.",neg
"Journalists better start realizing that we are gauging politicians for 2020 in a world of Trump. 

Report mistakes Dems make appropriately to that scale. Otherwise we are destined to repeat 2016.",pos
"@realDonaldTrump BAD RETURNS Trump does NOT want his gullible 36% base:

Trump Tax Law Has Led to Repatriation of Just 3% of the Cash He Promised It Would

https://t.co/ZB9aOZlCAF",neg
"@bekind4america @DonaldJTrumpJr @realDonaldTrump Trump can’t even uphold the rules on a golf course, much less our laws.",neg
Trump's #AIInitiative is really just an excuse to launch the Matrix. Heard #keanureeves wants the job.,pos
@Mastermind7864 Did you see the crazy guy with trump 2020 outfit🤮,neg
Bold move to openly and directly declare your own hateful hypocrisy. What exactly in the last three years of insanity could convince any sane person that Trump is anything but a deranged lunatic? https://t.co/bIBYlSS1Xl,neg
@GOP @KellyannePolls The #TrumpShutdown was a political disaster for the #GOP. Everyone knows it was based on #Trump's rejection of the bipartisan agreement on continuing funding. You all try it again at your peril.,neg
"@CTIronman @DanHaarColumns @GovNedLamont @JoeVisconti @JoeAresimowicz Thanks for sending.

Biff sees the SALT issue being whined about at this time as deflection.
(Trump is a bad person, don't look at our state budget proposal).",neg
"""Is Donald Trump a racist?"" 
Liberals: ""We can't know what is in his heart.""
""Is Ilhan Omar an Antisemite?""
Liberals: ""Oh absolutely 100% completely no doubt about it.""",neg
@keydizzle_ We didn’t start pulling troops out years ago. President trump stated he would start. Even if the U.S. states terrorism is no longer a priority that doesn’t mean slavery is? 9/11 didn’t Only effect 8 countries it effected many more.,neg
"@Glass_Animalz @DonaldJTrumpJr @realDonaldTrump Nah, these had him at about a 35% chance of winning. That's far from the impossible odds Trump would have you believe he overcame.",pos
"GESTAPO-ICE run by Republicans and trump are not going to ever tell the truth. This man is no different.  God only knows how many bodies ICE has buried, including women and children. https://t.co/TE8lB7dLL7",pos
"@DrWillieParker I suspect Trump dictated this letter too, it is written in his ""style""..... carnival barker that he is.",neg
@bloodlinegrant Yeah cus that stuff don’t really affect me. If trump did/ said something terrible and they supported THAT then I would reconsider,pos
"I think when you break laws and commit treason against the United States of America you forfeit your Secret Service protection. 
Lets  charge the Trump family for the cost of all their incarceration. https://t.co/kDc6Btnb0p",pos
"In case you missed it, Executive Director Peggy Huppert attended the State of the Union last week! https://t.co/MgbeHCZgh9",neg
@BryanJFischer @POLITICOMag You mean like Trump?,pos
"@rsmewborn @nytimes @realDonaldTrump Y’all jump all over trump’s revenge (miserable much?) train without a thought re constitutionality. Self-proclaimed Constitutionalist, amirite??",neg
I can see the similarities between Fox and Trump. https://t.co/hnUxmZ0ONU,neg
Texas Lawmakers Propose State Funding for Wall on Border https://t.co/BCcTtMA8Ww,neg
@Fahrenthold @realDonaldTrump Many reports say Trump also used legal immigrants under the h1 visa program. Do you have the numbers on how many he sponsored and were those employees used to conceal the undocumented workers?,pos
"Skynet, here we come. 

Trump to Sign Executive Order Promoting Artificial Intelligence https://t.co/mwLFAiU7Xu",pos
@ashleyfeinberg @IlhanMN Now imagine if Trump made similar comments. Would be the end of the world for all liberals.,neg
"@SenSanders You have to be kidding. Your socialist friends are talking about the new green deal costing trillions of dollars. No money for anything else. Think green. Wake up
 America and support our great President Donald J. Trump.🇺🇸",pos
@LadyRedWave @Caparosa52 Was Trump there? Lol,pos
"So yes, it's perfectly fair to blame Trump for racism in America in 2019.",pos
@laurenkwinn @SRuhle After The crap we put up with trump! She’d be a pleasure!,pos
"@w_terrence ✋I'm not running....., but maybe I should then drop out and give any support I gained to Trump.",pos
"Slamming Trump's 'political theater,' California Gov. Gavin Newsom pulls National Guard from border https://t.co/xDq6UxDAn0",neg
Michelle Obama Ruined Donald Trump’s Chances For 2020 With Just One Sentence https://t.co/E2cQHMPnMR via @dc_tribune,neg
"@joncoopertweets @Millennial_Dems I guess Trump does lead by example, at least on bankruptcies",neg
"@WaltDisneyWorld @DisneyJunior Disney advertises on @FoxNews. Fox news is a propaganda channel for @realDonaldTrump. Trump separates familes &amp; has put over 15,000 kids in internment camps. He wants to expand these policies. Some kids have died. 

Please join me in boycotting all Fox sponsors.

Thiis is #MAGA",neg
Huh!  No funding for AI development - Another Trump scam. https://t.co/e621wUTG8c,neg
@teaandrobots Trump wouldn't be able to vote in this scenario.,neg
"@ThatVDOVault @ribblefizz You can’t sell a covfefeticate because then you are Trump U. Also, for a covfefeticate, no evidence is required.",neg
⁦@CNNPolitics⁩ @SenateGOP @HouseDemocrats This issue belongs to the White Elephant in the China shop; Trump needs a Reality check.  https://t.co/Paes4R5POi,neg
"In Venezuela, White Supremacy is a Key to Trump's Coup https://t.co/Q9Ed7zFkT2",pos
"Trump offers socialism for the rich, capitalism for everyone else | Robert Reich https://t.co/pyPzBzUIL4",pos
Oh yeh and Trump is such a gentleman https://t.co/RRV7yT8nYf,neg
Greenwald: How Can Democrats Support Trump’s Push for Regime Change to S... https://t.co/Mz5q13SJRX via @YouTube,pos
"@nytimes @MaggieAstor So, what do you call the similar, negative words that people describe Trump, Sanders, Cruz, Schumer, and other men?  These women are being treated exactly like men in the political spotlight. That's equality. What you're calling for is less than equal. Shameful.",neg
"@p_statz @WhiteHouse Oh, I have no problem admitting I hate just about everything about trump. I also have no problem admitting that he has accomplished one or two good things, but they have been so completely overshadowed by his constant lies and hatefulness.",neg
@shalamsee PMB should adopt Trump's way of politics on this Amosun case. E for drag am.,neg
"@SecPompeo I can't believe you stand behind the actions of trump! There is more than enough proof that MBS was fully behind the murder of Jamal. BTW, i also believe you told him how to not get caught!",neg
"@Skwidj @docrocktex26 @doubletheennui So tell me, how could a state that elected Tammy Baldwin, the 1st out lesbian Senator in 2010 &amp; returned her to the Senate in 2016 be more misogynist than any 1 of the blue states? Indeed, the fact Baldwin won makes the votes for trump all that more suspicious.",pos
@dwarner522 @realDonaldTrump Trump doesn’t worry about losers. Ted a winner will be there.,neg
The only candidate that can beat trump is Joe Biden. Beto lost to Ted Cruz if you think he beating the orange man you trippin,neg
@thehill @TheHillOpinion be careful schiff some group favorable to trump will investigate you too.,pos
"@catturd2 @jtblogs That's great.. It gives the liberal ""resisters"" something to do instead of standing outside a Trump event protesting nonsense.... Let's keep them busy.. Like a dog chasing his own tail...",neg
"@JelaniRaysMom @realDonaldTrump ""Dozens of Trump supporters . . . "" https://t.co/t2lo8uO7Pf",pos
@Dan_Baddiel @OSALOVELY First of all that happened in November that probably why Trump didn't say anything now about it. Second where do you think these drugs are coming from when 95% come from Mexico and other southern countries?,neg
"@msnightwriter @silentrunning12 Good point, Night... 

Trump has been the BEST (most profitable) thing to happen to MSM since the 1990's. They aren't going to let THAT slip away. 

""Our Brand Is Chaos"", and chaos &amp; division they will sow- all the way to the bank. https://t.co/YShZM9LFdb",pos
@DailyCaller But the clowns in congress are looking to impeach Donald Trump,neg
"@reesetheone1 @swatnot Yes, her team should learn from the early damage done to Hillary from the far Left. She was so hobbled before the General.  Even Trump was recycling the distorted “Superpredator” lines.",neg
"As Trump visits El Paso to sell his wall, locals refute his false claims about their city https://t.co/N8aI2xCjMB",neg
"@HDTVGuy1st @Devilhog Your faith institutionalism is great but also how obstruction succeeds. So if you think there's reasons for Kushner and Trump Jr. to not have been indicted yet, we have differing opinions.",pos
@TheRightMelissa @realDonaldTrump Source: https://t.co/XWebAeBVUC,neg
"@pineywoozle @RobertaMcClain6 @CbusChummer @HoarseWisperer @johncusack @SenSanders This is EXACTLY why we have Trump. Instead of being positive towards all running, you're dividing like a good Troll. Bernie NEVER said that bullshit. Prove it, bet you can't👇 Cause he didn't. I want to hear him say it. if not You're spreading Propaganda.
https://t.co/dWdRWvSYcC",pos
"@DailyCaller I didn't tune in, lots of Trump bashing I'm sure",pos
Robert Mueller Shifts Focus to Trump’s Suspiciously Miraculous Wins in Wisconsin &amp; Michigan https://t.co/w2mizQ9piE via @YouTube,pos
"@amyklobuchar @GStephanopoulos She’s the real deal . Only candidate who will beat trump , mark my words .",neg
"@ronnieo147 Get your wand out again mate, ask Kevin for 20 mins table 7 and go show Judd Trump who is the real king!! Forget about the salads champ👍🏻",neg
@RepSwalwell Your tweet towards Trump's tweet. https://t.co/3ZVzUTSWul,neg
"@GOP @realDonaldTrump Humanitarian crimes via @realDonaldTrump Admin. No security crisis/emergency at our S border. NO WALL-PERIOD. STOP LYING @GOP &amp;Stop enabling a potus that has extreme case of NPD in the division &amp; destruction of our country. ""New Republican party"" is alias 4 the Putin-trump regime",neg
"@USATODAY The western Civilization is taking a significant step backwards since Trump being elected. Previously, we would immediately ignore someone think like this as uneducated dumb ass who does deserve any attention. But Trump has effectively legitimized this form of thinking.",pos
"@chrisgeidner The Trump family's new lawyer, Mukasey, was also the lawyer for PSY Group, an Israeli company that specialized in psychological warfare. They met with Don Jr in Trump Tower but say no one offered to buy or sell or obtain any info for the Trump camp. https://t.co/Q9FbsOkolX",neg
"If you don't think it matters how Klobuchar treats her staff, consider how much further we'd be toward the dark side if Trump could rely on his staff.",neg
"@davidfrum @wdwysocki I'm not. The previous two tweets by #Trump already make me feel a bit ""dirty"". He can reserve the rest for a prison chaplain and save the rest of us. It's Monday. Pfft .",neg
"@RodStryker THE DEMOCRATS ARE SHOWING US, THE AMERICAN PEOPLE WHAT THEY WANT AND WHEN THEY WANT IT WITH LITTLE OR NO RESISTANCE FROM OUR REPUBLICAN REPRESENTATIVE'S,WHY? AFRAID TRUMP WILL UPSET HE APPLE CART?",neg
@Cling2Reality Indeed the #GOP and tRump conned America https://t.co/MOxlQCjwfe,neg
Give Trump an 18'  high wire fence wherever he wants it and can obtain rights to place it.  And we will call it a wall.,neg
https://t.co/sTbTVKCzfH ​Trump official Shanahan talks differently than Khalizad when ​Shanahan says that 'peace terms are for Afghans to decide'.,pos
