Date recorded,Category,Initiative name,Original planned end date,Initiative stage,Quality,Planned end date,Explanatory notes,Date data current at,Priority,Original total estimated expenditure,Cost,Category name,Percentage complete,Actual cost to date,Time-frame,Overall status,_id,Investment objectives,Revised total estimated expenditure,Actual start date,Department
30/4/2018,QAS,e-ARF Redevelopment for iPad,2016-12-31T00:00:00,Delivery,G,2017-12-31T00:00:00,February: Implementation and rollout of the system was completed in late November 2017. The project is currently finalising end of project reporting processes.,2018-02-28T00:00:00,High,2624000,G,Queensland Ambulance Service,99,1877680,G,G,13,This is an initiative to provide the electronic Ambulance Report Form (eARF) electronic patient care solution via iPads in the field.,1910813,2015-09-02T00:00:00,DH
30/4/2018,CHOPD,Electronic List of Approved Medicines,2018-06-30T00:00:00,Delivery,G,2018-06-30T00:00:00,"February: Further solution clarification is required, which has impacted on the overall delivery timeframe of this initiative.",2018-02-28T00:00:00,High,1283000,G,Chief Health Officer and Prevention,54,68000,A,A,14,"?Provide the List of Approved Medicines (LAM) to clinicians in a user friendly way and reduce the number of resources they need to access to safely prescribe a LAM listed medicine, whilst addressing issues of LAM database maintenance. Integrate decision support into the system so that local policy documents and commonly used prescribing references are available to LAM users without the need to search additional applications.",1283000,2017-07-24T00:00:00,DH
30/4/2018,MNHHS,Electronic Prescribing and Medication Administration (EPMA),2018-11-30T00:00:00,Delivery,G,2018-11-30T00:00:00,,2018-03-16T00:00:00,High,4827917,G,Metro North,60,2655106,G,G,15,"The Electronic Prescribing and Medication Administration (EPMA) Project is part of the broader Electronic Medications Management (EMM) Program and is intended to be complementary to the state-wide i-Electronic Medical Record (ieMR) program. 
30/4/2018,
30/4/2018,Once implemented, EPMA will facilitate the electronic generation of prescriptions; transfer of the order to pharmacy and medication supply systems; then facilitate and record the administration of medication to inpatients in Metro North Hospital and Health Service (MNHHS).  
30/4/2018,
30/4/2018,The Stage 1 project involves implementing an information communication technology (ICT) solution in two sites in MNHHS in order to investigate the costs and benefits of such an approach.  Stage 2 will deliver EPMA capability (with one or more vendor options) into further clinical settings and Stage 3 will implement EPMA across all services and facilities in MNHHS.  ",4827917,2016-07-01T00:00:00,DH
30/4/2018,EHQ,Enterprise Firewall Service (EFS),2019-06-28T00:00:00,Initiate,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,High,3792744,G,eHealth Queensland,7,215612,G,G,16,"The Enterprise Firewall Service Project will re-design the firewall architecture by leveraging virtual firewall technologies to effectively manage the Queensland Health environment.
30/4/2018,a0
30/4/2018,a0The architecture will support contemporary cloud services connectivity and enable user-based security policies to align with business scenarios such as anywhere access.
30/4/2018,a0",3792744,2017-07-05T00:00:00,DH
30/4/2018,QAS,Enterprise Rostering System,2018-12-31T00:00:00,Paused,G,2018-12-31T00:00:00,,2018-02-28T00:00:00,High,1000000,G,Queensland Ambulance Service,10,505297,G,G,17,The initiative is to provide a centralised electronic rostering system to replace existing aging and disparate manual systems currently being utilised across the state.,1194682,2016-12-01T00:00:00,DH
30/4/2018,MNHHS,Financial System Renewal (FSR) Project,2018-12-31T00:00:00,Delivery,G,2018-12-31T00:00:00,February:The project is currently monitoring several schedule risks impacting a number of configuration activities. ,2018-02-28T00:00:00,High,105000000,G,Metro North,55,49985595,A,A,19,"The current Queensland Health Finance, Asset and Materials Maintenance Information System (FAMMIS) system is based on a heavily customised solution which is almost 20 years old and no longer supported.
30/4/2018,The objective of the FSR project is to upgrade the existing licences, and transition from FAMMIS to a contemporary solution suite, capable of supporting the Department of Health and all Hospital and Health Services across the state.
30/4/2018,
30/4/2018,The project is proceeding in two stages. The first of which involves the development and evaluation of a solution prototype and the development of a solution roll out plan. The second stage, which is scheduled to commence in the second half of 2017 involves solution configuration and deployment (which will occur in 2018).
30/4/2018,Although there are important ICT components of this project, the major focus is on business-led change management, supported by a skills uplift investment program, to enable the adoption of contemporary best practices across finance, procurement and asset/plant maintenance and to minimise/avoid any system customisation.
30/4/2018,
30/4/2018,As the FSR project proceeds, it will inform the business systems roadmap for Queensland Health, which has a number of other potentially related projects under consideration or development. These include a replacement costing system, a replacement practice management system, consolidation of revenue billing systems, and a new patient administration solution; all of which are intended to contribute to improvements in the management and delivery of health services across the state.",105000000,2016-12-07T00:00:00,DH
30/4/2018,EHQ,Follow Me Desktop - Deployment,2019-06-28T00:00:00,Delivery,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,High,3952980,G,eHealth Queensland,37,897676,G,G,20,"Follow Me Desktop Deployment Project will deliver
30/4/2018,a0the Follow Me Desktop service (FMD) to HHS
30/4/2018,92 in alignment with the Infrastructure Remediation Program (IMP) and ieMR rollout schedule, performing both the technical and business change necessary to deploy into clinical environments as well as delivering pilots of FMD capability in specific use cases at customer sites and performing operational support activities.",3676980,2017-07-03T00:00:00,DH
30/4/2018,EHQ,HBCIS Hardware Refresh,2018-06-29T00:00:00,Delivery,G,2018-06-29T00:00:00,,2018-02-28T00:00:00,High,3301500,G,eHealth Queensland,14,134264,G,G,21,"Project Purpose:
30/4/2018,a0To replace the HCBIS server and storage infrastructure that has reached end of life with a supported environment including upgrading to the latest supported software versions. To migrate all HBCIS instances onto the new infrastructure ensuring functionality is retained.",2490769,2017-07-01T00:00:00,DH
30/4/2018,EHQ,ICT Regional Wireless Infrastructure Initiatives,2018-06-29T00:00:00,Delivery,G,2018-06-29T00:00:00,,2018-02-28T00:00:00,High,4170000,G,eHealth Queensland,38,2435249,G,G,22,The Regional eHealth Project (ReHP) is a Wireless LAN and Network Infrastructure uplift project so that sites in Far North Qld are ready to rollout their new eHealth Application.,3489114,2017-07-01T00:00:00,DH
30/4/2018,EHQ,ICT Security Enhancements (ISE),2019-06-28T00:00:00,Initiate,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,Critical,1120000,G,eHealth Queensland,40,400043,G,G,23,The ICT Security Enhancement Project will mature the state of security controls to improve the security posture of the Department against cyber security threats.,1120000,2017-07-05T00:00:00,DH
30/4/2018,EHQ,Identity Access Management Project,2017-06-30T00:00:00,Delivery,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,High,3215000,G,eHealth Queensland,40,4435258,G,G,24,This initiative will implement an Identity Management solution that will provide a consolidated view of an identity and provide the ability to centrally manage the lifecycle of an identity. ,12318334,2015-06-22T00:00:00,DH
30/4/2018,CED,integrated Referral Management Solution (iRMS),2019-06-30T00:00:00,Delivery,G,2019-12-30T00:00:00,,2018-03-02T00:00:00,High,33827000,G,Clinical Excellence,18,10828000,G,G,30,integrated Referral Management Solution (iRMS) is focused on changing the way Hospital and Health Services (HHSs) communicate and interact with Primary Healthcare providers. iRMS is a clinical and process redesign project  including the implementation of supporting ICT solutions. ,39408218,2017-03-01T00:00:00,DH
30/4/2018,EHQ,ieMR Program (Funding Packages 3 and 4),2019-04-30T00:00:00,Delivery,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,High,0,G,eHealth Queensland,25,0,G,G,25,"ieMR will enable improved patient care through the development of a state-wide, authoritative single source of the patient records.  
30/4/2018,
30/4/2018,The ieMR will provide clinicians with the ability to: 
30/4/2018,* access data that is integrated, accurate and clinically relevant
30/4/2018,* support decision making and better use of information
30/4/2018,* optimise management of patients, resources and provision of services
30/4/2018,* support interaction across a network of providers by making it easier to find providers, transfer information and collaborate with multidisciplinary providers. 
30/4/2018,The Program scope (all tranches) is to roll out the ieMR system to 24 hospitals across Queensland.
30/4/2018,
30/4/2018,Please note that financial information for ieMR is Commercial in Confidence ",0,2016-11-17T00:00:00,DH
30/4/2018,EHQ,Infrastructure Capacity  FY 17-18,2018-06-29T00:00:00,Delivery,G,2018-06-29T00:00:00,,2018-02-28T00:00:00,Medium,1000000,G,eHealth Queensland,42,424529,G,G,26,"Project Purpose:
30/4/2018,a0
30/4/2018,The Infrastructure Capacity Project is responsible for managing capacity requests across the organisation to improve the level of service and accessibility of data across Queensland Health. The project is based on the identified 
30/4/2018,91organic growth
30/4/2018,92 requirements to replace/upgrade ICT infrastructure or expanding ICT assets to allow services to continue functioning. ICT assets include storage capacity, network switches, wireless and software licensing, etc.",2000000,2017-07-01T00:00:00,DH
30/4/2018,EHQ,Infrastructure Maintenance Program,2022-06-30T00:00:00,Initiate,G,2022-06-30T00:00:00,,2018-02-28T00:00:00,Medium,1161415,G,eHealth Queensland,3,302374,G,G,27,"The Infrastructure Maintenance Program (IMP)
30/4/2018,a0will establish the infrastructure foundation required to deliver accessible, equitable and innovative services, to support Queenslanders in becoming among the healthiest people in the world.
30/4/2018,The scope includes:
30/4/2018,Uplifting infrastructure technologies across Queensland Health facilities, specified in the Infrastructure Utility investment in the eHealth Investment Strategy. Infrastructure may be initiated by other eHealth investment priorities or by other strategic initiatives in the Digital Health Strategy; these are not in scope.
30/4/2018,Sites that are identified as priority sites for facilities and Wide Area Network (WAN) infrastructure uplift and all sites for End User Computing (EUC) and Security uplift; and
30/4/2018,a0
30/4/2018,Increasing capacity of upgrading technologies to meet minimum requirement to enable the eHealth strategy and to mitigate risks.",1161414,2017-07-03T00:00:00,DH
30/4/2018,CED,Integrated Mental Health Data Reporting (IMHDRR) Development Program,2022-06-30T00:00:00,Delivery,G,2022-06-30T00:00:00,,2018-02-28T00:00:00,High,14673739,G,Clinical Excellence,10,1336461,G,G,28,"The overall goal of the Integrated Mental Health Data Reporting Repository (IMHDRR) is to create a central mental health reporting repository that collates data from multiple source systems and provides the mechanisms to report comprehensive information about mental health consumers and services. 
30/4/2018,The ongoing program of work aims to continue and build upon existing functionality by: 
30/4/2018,
30/4/2018,95 Including additional data from current source systems, including data related to the Mental Health Act 2016 and clinical outcome measurement 
30/4/2018,
30/4/2018,95 Integrating new data sources (such as the Mental Health Establishments Collection and Emergency Department Collection) 
30/4/2018,
30/4/2018,95 Creating a 'self-service' functionality that will support HHS to improve the basis of planning and decision making through flexible and tailored analysis and reporting. This is a key initiative within Priority 3 of Connecting Care to Recovery 2016-2021 
30/4/2018,
30/4/2018,95 Supporting access to a broader range of Queensland Health stakeholders to timely and quality mental health data and analysis. 
30/4/2018,
30/4/2018,95 Supporting utilisation of clinical quality information by HHS and the Department of Health.",14673739,2017-07-01T00:00:00,DH
30/4/2018,QAS,Integrated Performance Reporting Solution (Data Warehouse Platform Upgrade),2022-12-21T00:00:00,Initiate,G,2022-12-21T00:00:00,,2018-02-28T00:00:00,High,6300000,G,Queensland Ambulance Service,19,446725,G,G,29,Phased delivery of a system supporting QAS business intelligence.,6300000,2017-01-03T00:00:00,DH
30/4/2018,EHQ,Queensland State-wide ICT Infrastructure Critical Uplift Initiative,2019-06-28T00:00:00,Delivery,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,High,3246247,G,eHealth Queensland,37,481679,G,G,49,Will replace or uplift out of date end of life ICT assets. ,3246247,2017-07-01T00:00:00,DH
30/4/2018,HSQ,Integrated Workforce Management (IWFM) Project - Stage 1,2016-11-30T00:00:00,Delivery,G,2018-04-30T00:00:00,"February: Approval delays in obtaining additional funding and a slightly extended schedule has impacted the project's schedule, with approvals expected in the upcoming reporting month. 
30/4/2018,
30/4/2018,January: Additional scope requirements have caused the project to extend the schedule and request additional finances, which is progressing through the project
30/4/2018,92s governance committee.",2018-02-28T00:00:00,High,8200000,R,Health Support Queensland,89,22024483,R,R,31,"The IWFM project involves:
30/4/2018,- configuring additional functionality (currently available and licensed, but unutilised) within the existing Rostering and Payroll business solutions
30/4/2018,- partnering with HHSs to develop refined business models and business processes to support the roster-to-pay process
30/4/2018,- undertaking extensive training and change management to support the adoption and effective usage of new functionality and processes",25060122,2016-02-17T00:00:00,DH
30/4/2018,EHQ,Interoperability Project,2016-04-29T00:00:00,Delivery,G,2019-09-29T00:00:00,,2018-02-28T00:00:00,High,23850000,G,eHealth Queensland,23,11941704,G,G,32,"Information is central to improving healthcare outcomes and providing integrated care for Queensland Health patients in both hospitals and the community.
30/4/2018,Interoperability means information that is captured and exchanged is fit-for-purpose and consistently understood by all participants involved in the care of a patient.
30/4/2018,The Interoperability Project will replace legacy integration and identity management systems to improve reliability, reduce complexity and make information exchange between  Queensland Health systems easier and simpler to change and maintain.
30/4/2018,",39189509,2015-02-01T00:00:00,DH
30/4/2018,HSQ,Laboratory Information System Program (LIS Program),2019-09-30T00:00:00,Delivery,G,2020-12-21T00:00:00,,2018-03-06T00:00:00,High,64000000,G,Health Support Queensland,46,16794104,G,G,33,"The move to a patient centric healthcare model requires a change in capability for the LIS used by Queensland Health. 
30/4/2018,As a result the LIS program has been established to go to market, understand current vendor capability and select a partner though an open tender process. The successful vendor will support us in delivering a core LIS, as well as extended and next generation LIS capability to support healthcare delivery in Queensland. ",64000000,2015-08-28T00:00:00,DH
30/4/2018,MNHHS,Learning and Performance Management Project,2017-06-30T00:00:00,Initiate,G,2018-11-26T00:00:00,,2018-03-16T00:00:00,High,1178190,G,Metro North,75,1078840,G,G,34,"Implement an integrated Learning Management and Performance Management system with the capability to deliver online learning and training content, facilitate performance development and maintain centralised records for reporting purposes.",1178190,2016-07-11T00:00:00,DH
30/4/2018,GCHHS,Medical Imaging Informatics Solution (MIIS) Risk Mitigation,2018-12-31T00:00:00,Delivery,G,2018-12-31T00:00:00,,2018-02-07T00:00:00,High,5000000,G,Gold Coast,18,643136,G,G,35,"The Medical Imaging Informatics Solution (MIIS) Risk Mitigation project  has identified an Imaging solution which will address the risks and opportunities described in the Case for Change including the mitigation of patient safety risks, increased efficiency and productivity, improvi.ng medical imaging billing revenue collection and cash flow. The solution has user endorsement from radiologists and clinicians and will be specifically configured to meet GCHHS
30/4/2018,92s needs.",5000000,2017-04-03T00:00:00,DH
30/4/2018,EHQ,"Project, Program and Portfolio Management Application",2018-03-31T00:00:00,Initiate,G,2018-06-29T00:00:00,,2018-02-28T00:00:00,Medium,1344177,G,eHealth Queensland,30,443659,G,G,47,"The current state of the current Project, Program and Portfolio Management Application (P3MA) in eHealth is approaching end of life. As such, this project shall define, source and deploy a suitable, supported P3MA for eHealth Queensland for the ongoing management of its multiple, complex projects and significant reporting requirements.
30/4/2018,",1473632,2017-05-02T00:00:00,DH
30/4/2018,MNHHS,Medication Dispensing and Distribution Robotics (MDDR),2018-08-01T00:00:00,Delivery,G,2018-11-30T00:00:00,,2018-03-16T00:00:00,High,4030460,G,Metro North,40,1592217,G,G,36,"The Medication Dispensing and Distribution Robotics (MDDR) project is part of the broader Electronic Medications Management (EMM) Program. 
30/4/2018,
30/4/2018,The MDDR project will implement dispensing robotics to automate medication supply and distribution in the Pharmacy Department of the Royal Brisbane Women's Hospital (RBWH) in Stage 1and facilitate major change in service delivery models for the pharmacy.  
30/4/2018,
30/4/2018,Anticipated benefits include: improvements in picking and dispensing accuracy; improved discharge medication processing; improved efficiency in inventory management; increased compliance with National Medication safety standards; and, a reduction in inventory adjustments, time to process impress and dispensing.",4030460,2016-07-01T00:00:00,DH
30/4/2018,MNHHS,Metro North Radiology Information System (MRIS) Project,2017-06-30T00:00:00,Delivery,G,2017-12-31T00:00:00,February: The project is continuing to report 'Red' due to continued due to delays resulting from addressing integration complexities. A change request to extend the go-live date for the project is progressing. ,2018-03-16T00:00:00,High,6299780,R,Metro North,75,5927846,R,R,37,Procurement and implementation of a Radiology Information System (RIS) across Metro North Hospital and Health Service to replace existing disparate solutions.,6299780,2014-06-01T00:00:00,DH
30/4/2018,EHQ,Metro South and East Queensland ICT Infrastructure Replacement Initiative,2018-06-29T00:00:00,Delivery,G,2018-06-29T00:00:00,,2018-02-28T00:00:00,High,4160449,G,eHealth Queensland,61,801900,G,G,38,Will replace or uplift out of date end of life ICT assets. ,4160448,2017-07-01T00:00:00,DH
30/4/2018,EHQ,Metro South East Queensland ICT Infrastructure Critical Uplift Initiative,2019-06-28T00:00:00,Delivery,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,High,2182844,G,eHealth Queensland,38,153318,G,G,39,Will replace or uplift out of date end of life ICT assets. ,2182843,2017-07-01T00:00:00,DH
30/4/2018,EHQ,Mobile Application System for Bring Your Own Device,2018-06-30T00:00:00,Delivery,G,2018-07-06T00:00:00,,2018-02-28T00:00:00,High,1639698,G,eHealth Queensland,65,877852,G,G,40,"This project leverages the investment of the previous Bring-Your-Own-Device (BYOD)
30/4/2018,a0projects to extend the capability of device mobility by building the foundations of a Mobile Application Ecosystem - the processes, products and services to enable the managed development of low/no code applications by Health and Hospital Services (HHS).
30/4/2018,a0 This project will also complete the deployment of BYOD laptops and provide recommendations on how cost savings can be made by the organisation around Corporate devices and data plans.
30/4/2018,a0",1639698,2017-07-01T00:00:00,DH
30/4/2018,CED,Queensland Integrated Safety Information Project (QISIP) / Risk Management,2017-06-30T00:00:00,Delivery,G,2018-06-30T00:00:00,,2018-03-01T00:00:00,High,4333120,G,Clinical Excellence,89,7805389,G,G,48,"This initiative will source a state wide system to replace existing enterprise risk management systems to support patient and staff incident reporting, feedback, case management and risk management processes. ",16273520,2013-01-25T00:00:00,DH
30/4/2018,EHQ,Modernised Managed Operating Environment (MOE) State-wide Migration,2018-12-28T00:00:00,Delivery,G,2018-12-19T00:00:00,"February: This project is experiencing delays in pre-migration activities and delays experienced in another dependent project. Further finances are required for additional project resources, with the schedule and finance issues being managed via the project's governance committee. 
30/4/2018,
30/4/2018,January: This project is experiencing delays in pre-migration activities and delays experienced in another dependent project. ",2018-02-28T00:00:00,High,14100000,R,eHealth Queensland,42,15861053,R,R,41,"This project will move Queensland Health to a modern end user workspace that is: current; delivering collaboration and productivity benefits; able to be accessed anywhere, anytime and on any device; reducing the reliance and expense of on premise infrastructure and support and not constraining the business from taking advantage of modern applications and services.",27427900,2016-05-12T00:00:00,DH
30/4/2018,QAS,Non-Urgent Patient Transport,2017-06-01T00:00:00,Delivery,G,2018-06-30T00:00:00,,2018-02-28T00:00:00,High,1500000,G,Queensland Ambulance Service,83,602640,G,G,42,Conduct of an open tender process for a non-urgent patient transport online request (service ordering) system.,1744000,2015-10-01T00:00:00,DH
30/4/2018,CHOPD,Notifiable Conditions System Replacement,2019-06-29T00:00:00,Delivery,G,2020-02-28T00:00:00,,2018-02-28T00:00:00,High,12000000,G,Chief Health Officer and Prevention,36,2306499,G,G,43,"Refresh the ICT systems underpinning the monitoring, surveillance, control and mandatory reporting of notifiable conditions in Queensland.
30/4/2018,This project is expected to result in the retirement of the current NoCS system and possibly niche systems for the management of influenza, TB, HAIs and vaccinations.",11590000,2014-11-01T00:00:00,DH
30/4/2018,EHQ,Patient Administration System (PAS) Replacement - Business Case Development Project,2017-06-30T00:00:00,Initiate,G,2019-03-29T00:00:00,,2018-02-28T00:00:00,Medium,3850000,G,eHealth Queensland,54,3673452,G,G,44,"Fit for purpose patient administration systems are vital for Queensland Health to provide the best possible level of healthcare for our communities. These applications support our patients
30/4/2018,92 journeys, and ensure that accurate information about our patients is readily available when and where required.
30/4/2018,
30/4/2018,The current phase of the PAS Replacement Program is to develop a preliminary business case to introduce contemporary patient administration capabilities across the State enabling improved:
30/4/2018,
30/4/2018,95 support for patient engagement
30/4/2018,
30/4/2018,95 integrated care
30/4/2018,
30/4/2018,95 clinical research
30/4/2018,
30/4/2018,95 population health (for patients using public health services)
30/4/2018,
30/4/2018,95 performance transparency
30/4/2018,
30/4/2018,95 resource planning.",11890865,2015-11-01T00:00:00,DH
30/4/2018,MNHHS,Picture Archiving and Communication System (PACS),2017-09-29T00:00:00,Delivery,G,2017-12-31T00:00:00,February: The project is continuing to report 'Red' due to continued delays resulting from addressing integration complexities. A change request to extend the go-live date for the project is progressing.  ,2018-03-16T00:00:00,High,3114694,R,Metro North,75,3435569,R,R,45,Procure and implement a contemporary Picture Archiving and Communication (PACS) system and functionality that will ensure improved service delivery for the MNHHS Medical Imaging Departments (and other PACS users) through replacement of RBWH PACS ensuring that it is scalable and able to meet the ongoing needs of Metro North Hospital and Health Service.,3656297,2016-07-11T00:00:00,DH
30/4/2018,CSD,Practice Management Enterprise Solution,2018-11-01T00:00:00,Initiate,G,2018-11-01T00:00:00,,2018-03-06T00:00:00,High,1470000,G,Corporate Services,49,514351,G,G,46,"The main practice management software used by HHSs to conduct private practice services and billing activities is being replaced.  The initiative will procure and implement ""like for like"" functionality enterprise solution for participating HHSs (15 in total). ",1470000,2017-08-01T00:00:00,DH
